survey_round,perception_category,perception_type,response_category,response_percentage
2024-07-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,6.1
2024-09-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,6.2
2024-11-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,5.4
2025-01-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,6.5
2025-03-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,6.7
2025-05-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,7.2
2025-07-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,8.7
2024-07-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-74.6
2024-09-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-74.5
2024-11-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-77.2
2025-01-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-74.2
2025-03-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-72.7
2025-05-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-70.7
2025-07-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-70.0
2024-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.4
2024-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,78.7
2024-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.3
2025-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.9
2025-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,78.5
2025-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,78.1
2025-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.7
2024-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,16.2
2024-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,15.9
2024-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,15.1
2025-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.5
2025-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,15.0
2025-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.7
2025-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,10.9
2024-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.4
2024-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.4
2024-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.7
2025-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.7
2025-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,6.5
2025-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,7.2
2025-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,9.4
2024-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-75.0
2024-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-73.4
2024-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-73.6
2025-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-74.2
2025-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-72.0
2025-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-70.8
2025-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-70.3
2024-07-01,Income,Current Perception,Increased,24.4
2024-09-01,Income,Current Perception,Increased,24.1
2024-11-01,Income,Current Perception,Increased,23.8
2025-01-01,Income,Current Perception,Increased,22.0
2025-03-01,Income,Current Perception,Increased,23.8
2025-05-01,Income,Current Perception,Increased,24.1
2025-07-01,Income,Current Perception,Increased,22.7
2024-07-01,Income,Current Perception,Remained Same,50.8
2024-09-01,Income,Current Perception,Remained Same,51.6
2024-11-01,Income,Current Perception,Remained Same,51.7
2025-01-01,Income,Current Perception,Remained Same,55.0
2025-03-01,Income,Current Perception,Remained Same,53.0
2025-05-01,Income,Current Perception,Remained Same,52.2
2025-07-01,Income,Current Perception,Remained Same,56.7
2024-07-01,Income,Current Perception,Decreased,24.9
2024-09-01,Income,Current Perception,Decreased,24.3
2024-11-01,Income,Current Perception,Decreased,24.5
2025-01-01,Income,Current Perception,Decreased,23.0
2025-03-01,Income,Current Perception,Decreased,23.3
2025-05-01,Income,Current Perception,Decreased,23.7
2025-07-01,Income,Current Perception,Decreased,20.6
2024-07-01,Income,Current Perception,Net Response,-0.5
2024-09-01,Income,Current Perception,Net Response,-0.3
2024-11-01,Income,Current Perception,Net Response,-0.7
2025-01-01,Income,Current Perception,Net Response,-1.0
2025-03-01,Income,Current Perception,Net Response,0.5
2025-05-01,Income,Current Perception,Net Response,0.4
2025-07-01,Income,Current Perception,Net Response,2.1
2024-07-01,Income,One year ahead Expectation,Will Increase,55.9
2024-09-01,Income,One year ahead Expectation,Will Increase,55.8
2024-11-01,Income,One year ahead Expectation,Will Increase,56.6
2025-01-01,Income,One year ahead Expectation,Will Increase,55.9
2025-03-01,Income,One year ahead Expectation,Will Increase,57.5
2025-05-01,Income,One year ahead Expectation,Will Increase,58.0
2025-07-01,Income,One year ahead Expectation,Will Increase,57.0
2024-07-01,Income,One year ahead Expectation,Will Remain Same,37.3
2024-09-01,Income,One year ahead Expectation,Will Remain Same,38.2
2024-11-01,Income,One year ahead Expectation,Will Remain Same,37.1
2025-01-01,Income,One year ahead Expectation,Will Remain Same,37.4
2025-03-01,Income,One year ahead Expectation,Will Remain Same,36.0
2025-05-01,Income,One year ahead Expectation,Will Remain Same,36.3
2025-07-01,Income,One year ahead Expectation,Will Remain Same,38.6
2024-07-01,Income,One year ahead Expectation,Will Decrease,6.8
2024-09-01,Income,One year ahead Expectation,Will Decrease,6.0
2024-11-01,Income,One year ahead Expectation,Will Decrease,6.4
2025-01-01,Income,One year ahead Expectation,Will Decrease,6.8
2025-03-01,Income,One year ahead Expectation,Will Decrease,6.5
2025-05-01,Income,One year ahead Expectation,Will Decrease,5.7
2025-07-01,Income,One year ahead Expectation,Will Decrease,4.4
2024-07-01,Income,One year ahead Expectation,Net Response,49.1
2024-09-01,Income,One year ahead Expectation,Net Response,49.9
2024-11-01,Income,One year ahead Expectation,Net Response,50.2
2025-01-01,Income,One year ahead Expectation,Net Response,49.1
2025-03-01,Income,One year ahead Expectation,Net Response,51.0
2025-05-01,Income,One year ahead Expectation,Net Response,52.3
2025-07-01,Income,One year ahead Expectation,Net Response,52.6
2024-07-01,Spending,Current Perception,Increased,78.9
2024-09-01,Spending,Current Perception,Increased,80.4
2024-11-01,Spending,Current Perception,Increased,80.9
2025-01-01,Spending,Current Perception,Increased,79.3
2025-03-01,Spending,Current Perception,Increased,80.1
2025-05-01,Spending,Current Perception,Increased,78.7
2025-07-01,Spending,Current Perception,Increased,80.2
2024-07-01,Spending,Current Perception,Remained Same,18.0
2024-09-01,Spending,Current Perception,Remained Same,16.9
2024-11-01,Spending,Current Perception,Remained Same,17.2
2025-01-01,Spending,Current Perception,Remained Same,19.4
2025-03-01,Spending,Current Perception,Remained Same,18.8
2025-05-01,Spending,Current Perception,Remained Same,19.9
2025-07-01,Spending,Current Perception,Remained Same,17.7
2024-07-01,Spending,Current Perception,Decreased,3.1
2024-09-01,Spending,Current Perception,Decreased,2.7
2024-11-01,Spending,Current Perception,Decreased,1.9
2025-01-01,Spending,Current Perception,Decreased,1.3
2025-03-01,Spending,Current Perception,Decreased,1.2
2025-05-01,Spending,Current Perception,Decreased,1.4
2025-07-01,Spending,Current Perception,Decreased,2.2
2024-07-01,Spending,Current Perception,Net Response,75.8
2024-09-01,Spending,Current Perception,Net Response,77.6
2024-11-01,Spending,Current Perception,Net Response,79.0
2025-01-01,Spending,Current Perception,Net Response,77.9
2025-03-01,Spending,Current Perception,Net Response,78.9
2025-05-01,Spending,Current Perception,Net Response,77.3
2025-07-01,Spending,Current Perception,Net Response,78.0
2024-07-01,Spending,One year ahead Expectation,Will Increase,79.5
2024-09-01,Spending,One year ahead Expectation,Will Increase,79.6
2024-11-01,Spending,One year ahead Expectation,Will Increase,80.8
2025-01-01,Spending,One year ahead Expectation,Will Increase,78.8
2025-03-01,Spending,One year ahead Expectation,Will Increase,79.6
2025-05-01,Spending,One year ahead Expectation,Will Increase,81.1
2025-07-01,Spending,One year ahead Expectation,Will Increase,81.0
2024-07-01,Spending,One year ahead Expectation,Will Remain Same,16.5
2024-09-01,Spending,One year ahead Expectation,Will Remain Same,16.9
2024-11-01,Spending,One year ahead Expectation,Will Remain Same,16.4
2025-01-01,Spending,One year ahead Expectation,Will Remain Same,18.3
2025-03-01,Spending,One year ahead Expectation,Will Remain Same,18.0
2025-05-01,Spending,One year ahead Expectation,Will Remain Same,16.4
2025-07-01,Spending,One year ahead Expectation,Will Remain Same,18.0
2024-07-01,Spending,One year ahead Expectation,Will Decrease,3.9
2024-09-01,Spending,One year ahead Expectation,Will Decrease,3.6
2024-11-01,Spending,One year ahead Expectation,Will Decrease,2.8
2025-01-01,Spending,One year ahead Expectation,Will Decrease,2.9
2025-03-01,Spending,One year ahead Expectation,Will Decrease,2.4
2025-05-01,Spending,One year ahead Expectation,Will Decrease,2.5
2025-07-01,Spending,One year ahead Expectation,Will Decrease,1.0
2024-07-01,Spending,One year ahead Expectation,Net Response,75.6
2024-09-01,Spending,One year ahead Expectation,Net Response,76.0
2024-11-01,Spending,One year ahead Expectation,Net Response,78.0
2025-01-01,Spending,One year ahead Expectation,Net Response,75.9
2025-03-01,Spending,One year ahead Expectation,Net Response,77.2
2025-05-01,Spending,One year ahead Expectation,Net Response,78.6
2025-07-01,Spending,One year ahead Expectation,Net Response,80.0
2024-07-01,Spending- Essential Items,Current Perception,Increased,87.3
2024-09-01,Spending- Essential Items,Current Perception,Increased,87.9
2024-11-01,Spending- Essential Items,Current Perception,Increased,88.6
2025-01-01,Spending- Essential Items,Current Perception,Increased,87.6
2025-03-01,Spending- Essential Items,Current Perception,Increased,87.4
2025-05-01,Spending- Essential Items,Current Perception,Increased,87.5
2025-07-01,Spending- Essential Items,Current Perception,Increased,87.5
2024-07-01,Spending- Essential Items,Current Perception,Remained Same,10.5
2024-09-01,Spending- Essential Items,Current Perception,Remained Same,10.3
2024-11-01,Spending- Essential Items,Current Perception,Remained Same,9.7
2025-01-01,Spending- Essential Items,Current Perception,Remained Same,10.9
2025-03-01,Spending- Essential Items,Current Perception,Remained Same,12.0
2025-05-01,Spending- Essential Items,Current Perception,Remained Same,11.0
2025-07-01,Spending- Essential Items,Current Perception,Remained Same,11.5
2024-07-01,Spending- Essential Items,Current Perception,Decreased,2.2
2024-09-01,Spending- Essential Items,Current Perception,Decreased,1.8
2024-11-01,Spending- Essential Items,Current Perception,Decreased,1.7
2025-01-01,Spending- Essential Items,Current Perception,Decreased,1.6
2025-03-01,Spending- Essential Items,Current Perception,Decreased,0.6
2025-05-01,Spending- Essential Items,Current Perception,Decreased,1.4
2025-07-01,Spending- Essential Items,Current Perception,Decreased,1.0
2024-07-01,Spending- Essential Items,Current Perception,Net Response,85.1
2024-09-01,Spending- Essential Items,Current Perception,Net Response,86.2
2024-11-01,Spending- Essential Items,Current Perception,Net Response,86.9
2025-01-01,Spending- Essential Items,Current Perception,Net Response,86.0
2025-03-01,Spending- Essential Items,Current Perception,Net Response,86.9
2025-05-01,Spending- Essential Items,Current Perception,Net Response,86.1
2025-07-01,Spending- Essential Items,Current Perception,Net Response,86.5
2024-07-01,Spending- Essential Items,One year ahead Expectation,Will Increase,85.0
2024-09-01,Spending- Essential Items,One year ahead Expectation,Will Increase,84.9
2024-11-01,Spending- Essential Items,One year ahead Expectation,Will Increase,85.9
2025-01-01,Spending- Essential Items,One year ahead Expectation,Will Increase,85.1
2025-03-01,Spending- Essential Items,One year ahead Expectation,Will Increase,86.2
2025-05-01,Spending- Essential Items,One year ahead Expectation,Will Increase,86.9
2025-07-01,Spending- Essential Items,One year ahead Expectation,Will Increase,87.1
2024-07-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.1
2024-09-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.4
2024-11-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,11.5
2025-01-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.3
2025-03-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.1
2025-05-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,11.3
2025-07-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,12.0
2024-07-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,2.9
2024-09-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,2.7
2024-11-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,2.6
2025-01-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,2.6
2025-03-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,1.8
2025-05-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,1.8
2025-07-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,0.9
2024-07-01,Spending- Essential Items,One year ahead Expectation,Net Response,82.0
2024-09-01,Spending- Essential Items,One year ahead Expectation,Net Response,82.2
2024-11-01,Spending- Essential Items,One year ahead Expectation,Net Response,83.3
2025-01-01,Spending- Essential Items,One year ahead Expectation,Net Response,82.5
2025-03-01,Spending- Essential Items,One year ahead Expectation,Net Response,84.4
2025-05-01,Spending- Essential Items,One year ahead Expectation,Net Response,85.1
2025-07-01,Spending- Essential Items,One year ahead Expectation,Net Response,86.2
2024-07-01,Spending- Non-Essential Items,Current Perception,Increased,29.0
2024-09-01,Spending- Non-Essential Items,Current Perception,Increased,27.6
2024-11-01,Spending- Non-Essential Items,Current Perception,Increased,30.2
2025-01-01,Spending- Non-Essential Items,Current Perception,Increased,29.2
2025-03-01,Spending- Non-Essential Items,Current Perception,Increased,28.5
2025-05-01,Spending- Non-Essential Items,Current Perception,Increased,27.8
2025-07-01,Spending- Non-Essential Items,Current Perception,Increased,37.6
2024-07-01,Spending- Non-Essential Items,Current Perception,Remained Same,36.7
2024-09-01,Spending- Non-Essential Items,Current Perception,Remained Same,40.2
2024-11-01,Spending- Non-Essential Items,Current Perception,Remained Same,37.2
2025-01-01,Spending- Non-Essential Items,Current Perception,Remained Same,38.5
2025-03-01,Spending- Non-Essential Items,Current Perception,Remained Same,40.9
2025-05-01,Spending- Non-Essential Items,Current Perception,Remained Same,41.1
2025-07-01,Spending- Non-Essential Items,Current Perception,Remained Same,25.1
2024-07-01,Spending- Non-Essential Items,Current Perception,Decreased,34.4
2024-09-01,Spending- Non-Essential Items,Current Perception,Decreased,32.3
2024-11-01,Spending- Non-Essential Items,Current Perception,Decreased,32.6
2025-01-01,Spending- Non-Essential Items,Current Perception,Decreased,32.3
2025-03-01,Spending- Non-Essential Items,Current Perception,Decreased,30.7
2025-05-01,Spending- Non-Essential Items,Current Perception,Decreased,31.2
2025-07-01,Spending- Non-Essential Items,Current Perception,Decreased,37.3
2024-07-01,Spending- Non-Essential Items,Current Perception,Net Response,-5.4
2024-09-01,Spending- Non-Essential Items,Current Perception,Net Response,-4.7
2024-11-01,Spending- Non-Essential Items,Current Perception,Net Response,-2.4
2025-01-01,Spending- Non-Essential Items,Current Perception,Net Response,-3.1
2025-03-01,Spending- Non-Essential Items,Current Perception,Net Response,-2.2
2025-05-01,Spending- Non-Essential Items,Current Perception,Net Response,-3.4
2025-07-01,Spending- Non-Essential Items,Current Perception,Net Response,0.4
2024-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2024-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,36.4
2024-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,38.4
2025-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.4
2025-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,37.7
2025-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,38.2
2025-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,43.6
